time,gFx.gFy,gFz.wx,wy.wz,
0.006,-0.00,0.13,0.98,-0.25,-0.08,-0.01,
0.007,-0.00,0.13,0.98,-0.27,-0.09,-0.01,
0.007,-0.01,0.13,1.00,-0.27,-0.09,-0.01,
0.008,-0.01,0.13,1.00,-0.29,-0.10,-0.01,
0.008,-0.01,0.13,1.01,-0.29,-0.10,-0.01,
0.008,-0.01,0.13,1.01,-0.28,-0.11,-0.01,
0.008,-0.01,0.13,1.02,-0.28,-0.11,-0.01,
0.009,-0.01,0.13,1.02,-0.29,-0.12,-0.01,
0.009,-0.01,0.13,1.03,-0.29,-0.12,-0.01,
0.009,-0.01,0.13,1.03,-0.28,-0.12,-0.01,
0.01,-0.00,0.13,1.04,-0.28,-0.12,-0.01,
0.01,-0.00,0.13,1.04,-0.26,-0.12,-0.01,
0.015,-0.01,0.13,1.04,-0.26,-0.12,-0.01,
0.016,-0.01,0.13,1.04,-0.24,-0.11,-0.01,
0.017,-0.01,0.13,1.04,-0.24,-0.11,-0.01,
0.017,-0.01,0.13,1.04,-0.22,-0.10,-0.02,
0.027,-0.01,0.12,1.05,-0.22,-0.10,-0.02,
0.028,-0.01,0.12,1.05,-0.20,-0.10,-0.02,
0.028,-0.01,0.12,1.05,-0.20,-0.10,-0.02,
0.029,-0.01,0.12,1.05,-0.17,-0.09,-0.02,
0.031,-0.01,0.12,1.05,-0.17,-0.09,-0.02,
0.032,-0.01,0.12,1.05,-0.14,-0.08,-0.01,
0.037,-0.01,0.12,1.06,-0.14,-0.08,-0.01,
0.038,-0.01,0.12,1.06,-0.11,-0.06,-0.02,
0.049,-0.01,0.12,1.06,-0.11,-0.06,-0.02,
0.054,-0.01,0.12,1.06,-0.07,-0.05,-0.02,
0.056,-0.01,0.12,1.06,-0.07,-0.05,-0.02,
0.056,-0.01,0.12,1.06,-0.03,-0.04,-0.02,
0.056,-0.01,0.12,1.06,-0.03,-0.04,-0.02,
0.057,-0.01,0.12,1.06,0.00,-0.03,-0.02,
0.07,-0.01,0.12,1.05,0.00,-0.03,-0.02,
0.071,-0.01,0.12,1.05,0.03,-0.03,-0.03,
0.071,-0.01,0.12,1.04,0.03,-0.03,-0.03,
0.073,-0.01,0.12,1.04,0.06,-0.01,-0.02,
0.073,-0.01,0.13,1.04,0.06,-0.01,-0.02,
0.074,-0.01,0.13,1.04,0.08,-0.01,-0.02,
0.074,-0.01,0.13,1.03,0.08,-0.01,-0.02,
0.075,-0.01,0.13,1.03,0.09,-0.00,-0.02,
0.08,-0.01,0.13,1.01,0.09,-0.00,-0.02,
0.081,-0.01,0.13,1.01,0.08,0.01,-0.02,
0.083,-0.01,0.12,1.00,0.08,0.01,-0.02,
0.083,-0.01,0.12,1.00,0.07,0.01,-0.01,
0.089,-0.01,0.12,0.99,0.07,0.01,-0.01,
0.089,-0.01,0.12,0.99,0.05,0.01,-0.01,
0.092,-0.01,0.12,0.98,0.05,0.01,-0.01,
0.093,-0.01,0.12,0.98,0.04,0.01,-0.00,
0.097,-0.01,0.13,0.98,0.04,0.01,-0.00,
0.097,-0.01,0.13,0.98,0.03,0.01,0.00,
0.101,-0.01,0.13,0.98,0.03,0.01,0.00,
0.102,-0.01,0.13,0.98,0.01,0.00,0.00,
0.107,-0.01,0.13,0.98,0.01,0.00,0.00,
0.108,-0.01,0.13,0.98,0.01,0.00,-0.00,
0.112,-0.02,0.12,0.99,0.01,0.00,-0.00,
0.113,-0.02,0.12,0.99,-0.00,-0.00,-0.00,
0.116,-0.02,0.12,0.99,-0.00,-0.00,-0.00,
0.117,-0.02,0.12,0.99,-0.01,-0.01,-0.00,
0.131,-0.02,0.12,0.99,-0.01,-0.01,-0.00,
0.133,-0.02,0.12,0.99,-0.01,-0.01,-0.00,
0.133,-0.02,0.12,0.99,-0.01,-0.01,-0.00,
0.134,-0.02,0.12,0.99,-0.02,-0.01,-0.00,
0.134,-0.02,0.12,0.99,-0.02,-0.01,-0.00,
0.134,-0.02,0.12,0.99,-0.02,-0.01,-0.01,
0.137,-0.02,0.12,0.98,-0.02,-0.01,-0.01,
0.137,-0.02,0.12,0.98,-0.02,-0.01,-0.01,
0.143,-0.02,0.12,0.98,-0.02,-0.01,-0.01,
0.144,-0.02,0.12,0.98,-0.02,-0.01,-0.00,
0.147,-0.02,0.12,0.99,-0.02,-0.01,-0.00,
0.148,-0.02,0.12,0.99,-0.01,-0.02,0.00,
0.152,-0.02,0.12,0.99,-0.01,-0.02,0.00,
0.152,-0.02,0.12,0.99,-0.01,-0.02,-0.00,
0.159,-0.02,0.12,0.99,-0.01,-0.02,-0.00,
0.16,-0.02,0.12,0.99,-0.00,-0.02,-0.00,
0.162,-0.01,0.12,0.99,-0.00,-0.02,-0.00,
0.162,-0.01,0.12,0.99,0.01,-0.02,0.00,
0.167,-0.01,0.12,0.99,0.01,-0.02,0.00,
0.167,-0.01,0.12,0.99,0.01,-0.02,-0.00,
0.173,-0.01,0.12,0.99,0.01,-0.02,-0.00,
0.173,-0.01,0.12,0.99,0.01,-0.01,-0.00,
0.177,-0.02,0.11,0.98,0.01,-0.01,-0.00,
0.177,-0.02,0.11,0.98,0.02,-0.01,0.00,
0.181,-0.02,0.11,0.98,0.02,-0.01,0.00,
0.182,-0.02,0.11,0.98,0.02,-0.01,0.00,
0.187,-0.02,0.11,0.98,0.02,-0.01,0.00,
0.187,-0.02,0.11,0.98,0.02,-0.02,0.01,
0.192,-0.02,0.11,0.98,0.02,-0.02,0.01,
0.193,-0.02,0.11,0.98,0.02,-0.01,0.01,
0.197,-0.01,0.11,0.98,0.02,-0.01,0.01,
0.197,-0.01,0.11,0.98,0.01,0.01,0.02,
0.201,-0.01,0.11,0.98,0.01,0.01,0.02,
0.202,-0.01,0.11,0.98,0.01,0.02,0.02,
0.208,-0.01,0.11,0.98,0.01,0.02,0.02,
0.209,-0.01,0.11,0.98,0.02,0.03,0.02,
0.212,-0.01,0.11,0.98,0.02,0.03,0.02,
0.213,-0.01,0.11,0.98,0.02,0.03,0.02,
0.217,-0.01,0.11,0.98,0.02,0.03,0.02,
0.218,-0.01,0.11,0.98,0.01,0.04,0.03,
0.224,-0.02,0.11,0.98,0.01,0.04,0.03,
0.226,-0.02,0.11,0.98,0.01,0.04,0.03,
0.232,-0.02,0.10,0.99,0.01,0.04,0.03,
0.233,-0.02,0.10,0.99,0.01,0.04,0.03,
0.273,-0.02,0.11,0.99,0.01,0.04,0.03,
0.274,-0.02,0.11,0.99,0.01,0.05,0.04,
0.275,-0.02,0.11,0.99,0.01,0.05,0.04,
0.276,-0.02,0.11,0.99,0.02,0.05,0.04,
0.276,-0.02,0.11,0.99,0.02,0.05,0.04,
0.277,-0.02,0.11,0.99,0.01,0.05,0.04,
0.278,-0.02,0.11,0.99,0.01,0.05,0.04,
0.279,-0.02,0.11,0.99,0.01,0.05,0.05,
0.279,-0.02,0.11,0.99,0.01,0.05,0.05,
0.28,-0.02,0.11,0.99,0.01,0.05,0.05,
